T,DF
0,1
0.01,0.999528
0.03,0.998598
0.1,0.995365
0.25,0.988643
0.5,0.977988
1,0.958315
2,0.922662
3,0.888815
4,0.856657
5,0.825743
6,0.795592
7,0.766349
8,0.737951
9,0.71031
10,0.683469
